date,USD_Index,Gold_Price,S&P_500,NASDAQ_Composite,WTI_Oil_Price,Copper_Price,Fed_Funds_Rate,UST_10Y_Yield,Term_Spread_10Y_2Y,VIX,Fed_Balance_Sheet_Total,RRP_Balance,TGA_Balance,Govt_Debt_Total,Nonfarm_Payrolls,Initial_Claims,Unemployment_Rate,JOLTS_Job_Openings,CPI_YoY,Core_PCE_YoY,Inflation_Expectation_5Y,OECD_CLI_US,Chicago_NFCI,WEI,CCC_Credit_Spread_Approx
2016/1/26,115.9833,1120.09,1903.63,4567.67,29.54,4471.7875,0.34,2.01,1.16,22.5,4488840,83.819,55163.28851,19264939,143210,279000,4.8,6012,0,0,1.17,100.0642,-0.28435,1.01,-0.57
2016/1/27,115.5087,1124.76,1882.95,4468.17,32.32,4471.7875,0.34,2.02,1.18,23.11,4482349,89.304,55163.28851,19264939,143210,279000,4.8,6012,0,0,1.18,100.0642,-0.28435,1.01,-0.56
2016/1/28,115.2224,1114.28,1893.36,4506.68,33.21,4471.7875,0.34,2,1.17,22.42,4482349,63.251,55163.28851,19264939,143210,279000,4.8,6012,0,0,1.2,100.0642,-0.28435,1.01,-0.54
2016/1/29,115.5731,1117.99,1940.24,4613.95,33.66,4471.7875,0.34,1.94,1.18,20.2,4482349,114.573,55163.28851,19264939,143210,279000,4.8,6012,0,0,1.19,100.0642,-0.27616,1.01,-0.47
2016/1/30,115.5731,1117.99,1940.24,4613.95,33.66,4471.7875,0.34,1.94,1.18,20.2,4482349,114.573,55163.28851,19264939,143210,281250,4.8,6012,10.82635502,9.55651211,1.19,100.0642,-0.27616,1.16,-0.47
2016/1/31,115.5731,1117.99,1940.24,4613.95,33.66,4471.7875,0.34,1.94,1.18,20.2,4482349,114.573,55163.28851,19264939,143210,281250,4.8,6012,0,0,1.19,100.0642,-0.27616,1.16,-0.47
2016/2/1,115.3331,1128.37,1939.38,4620.37,31.62,4598.619048,0.38,1.97,1.16,19.98,4482349,76.79,-192614.0017,19264939,143407,281250,4.9,5770,-0.132967532,0.173214304,1.2,100.0118,-0.27616,1.16,-0.48
2016/2/2,115.553,1128.62,1903.03,4516.95,29.9,4598.619048,0.38,1.87,1.12,21.98,4482349,80.127,-192614.0017,19264939,143407,281250,4.9,5770,-0.132967532,0.173214304,1.14,100.0118,-0.27616,1.16,-0.35
2016/2/3,114.6144,1142.34,1912.53,4504.24,32.29,4598.619048,0.38,1.88,1.16,21.65,4483495,62.461,-192614.0017,19264939,143407,281250,4.9,5770,-0.132967532,0.173214304,1.16,100.0118,-0.27616,1.16,-0.34
2016/2/4,113.6012,1155.36,1915.45,4509.56,31.63,4598.619048,0.38,1.87,1.17,21.84,4483495,55.893,-192614.0017,19264939,143407,281250,4.9,5770,-0.132967532,0.173214304,1.13,100.0118,-0.27616,1.16,-0.33
2016/2/5,114.2935,1173.06,1880.05,4363.14,30.86,4598.619048,0.38,1.86,1.12,23.38,4483495,50.888,-192614.0017,19264939,143407,281250,4.9,5770,-0.132967532,0.173214304,1.07,100.0118,-0.27169,1.16,-0.31
2016/2/6,114.2935,1173.06,1880.05,4363.14,30.86,4598.619048,0.38,1.86,1.12,23.38,4483495,50.888,-192614.0017,19264939,143407,276750,4.9,5770,7.494704754,7.892491843,1.07,100.0118,-0.27169,1.32,-0.31
2016/2/7,114.2935,1173.06,1880.05,4363.14,30.86,4598.619048,0.38,1.86,1.12,23.38,4483495,50.888,-192614.0017,19264939,143407,276750,4.9,5770,7.494704754,7.892491843,1.07,100.0118,-0.27169,1.32,-0.31
2016/2/8,114.4351,1190.02,1853.44,4283.75,29.71,4598.619048,0.38,1.75,1.09,26,4483495,39.132,-192614.0017,19264939,143407,276750,4.9,5770,-0.132967532,0.173214304,0.97,100.0118,-0.27169,1.32,-0.16
2016/2/9,114.127,1188.76,1852.21,4268.76,27.96,4598.619048,0.38,1.74,1.05,26.54,4483495,44.123,-192614.0017,19264939,143407,276750,4.9,5770,-0.132967532,0.173214304,0.93,100.0118,-0.27169,1.32,-0.13
2016/2/10,114.2877,1197.41,1851.86,4283.59,27.54,4598.619048,0.38,1.71,1,26.29,4486278,47.974,-192614.0017,19264939,143407,276750,4.9,5770,-0.132967532,0.173214304,0.95,100.0118,-0.27169,1.32,-0.09
2016/2/11,114.1845,1248.7,1829.08,4266.84,26.19,4598.619048,0.38,1.63,0.99,28.14,4486278,44.482,-192614.0017,19264939,143407,276750,4.9,5770,-0.132967532,0.173214304,0.94,100.0118,-0.27169,1.32,0.02
2016/2/12,114.2992,1238.13,1864.78,4337.51,29.32,4598.619048,0.38,1.74,1.03,25.4,4486278,35.233,-192614.0017,19264939,143407,276750,4.9,5770,-0.132967532,0.173214304,1.03,100.0118,-0.27209,1.32,-0.1
2016/2/13,114.2992,1238.13,1864.78,4337.51,29.32,4598.619048,0.38,1.74,1.03,25.4,4486278,35.233,-192614.0017,19264939,143407,269750,4.9,5770,5.084922092,5.570376235,1.03,100.0118,-0.27209,1.41,-0.1
2016/2/14,114.2992,1238.13,1864.78,4337.51,29.32,4598.619048,0.38,1.74,1.03,25.4,4486278,35.233,-192614.0017,19264939,143407,269750,4.9,5770,5.084922092,5.570376235,1.03,100.0118,-0.27209,1.41,-0.1
2016/2/15,114.2992,1209.07,1864.78,4337.51,29.32,4598.619048,0.38,1.74,1.03,25.4,4486278,35.233,-192614.0017,19264939,143407,269750,4.9,5770,-0.132967532,0.173214304,1.03,100.0118,-0.27209,1.41,-0.1
2016/2/16,114.4905,1199.53,1895.58,4435.96,29.05,4598.619048,0.38,1.78,1.04,24.11,4486278,34.728,-192614.0017,19264939,143407,269750,4.9,5770,-0.132967532,0.173214304,1.03,100.0118,-0.27209,1.41,-0.14
